filename,width,height,class,xmin,ymin,xmax,ymax
89390_img1_jpg.rf.3d68395772b98569c9e49cd448778e7c.jpg,640,640,mould,229,75,640,437
89390_img1_jpg.rf.3d68395772b98569c9e49cd448778e7c.jpg,640,640,mould,101,363,276,640
89390_img1_jpg.rf.3d68395772b98569c9e49cd448778e7c.jpg,640,640,mould,278,437,329,481
89390_img1_jpg.rf.3d68395772b98569c9e49cd448778e7c.jpg,640,640,mould,142,275,211,349
89390_img1_jpg.rf.3d68395772b98569c9e49cd448778e7c.jpg,640,640,mould,268,181,306,237
89390_img1_jpg.rf.3d68395772b98569c9e49cd448778e7c.jpg,640,640,mould,548,0,640,115
89390_img1_jpg.rf.3d68395772b98569c9e49cd448778e7c.jpg,640,640,mould,451,74,500,116
35464_img3_jpg.rf.3d506b39ba95973433beb12a39be254d.jpg,640,640,mould,0,148,442,432
35464_img3_jpg.rf.3d506b39ba95973433beb12a39be254d.jpg,640,640,mould,26,73,552,639
35464_img3_jpg.rf.3d506b39ba95973433beb12a39be254d.jpg,640,640,mould,0,251,468,583
89912_img2_jpg.rf.3d6282e5773769cd65323654f2926bee.jpg,640,640,mould,368,100,400,299
89912_img2_jpg.rf.3d6282e5773769cd65323654f2926bee.jpg,640,640,mould,414,200,450,242
89912_img2_jpg.rf.3d6282e5773769cd65323654f2926bee.jpg,640,640,mould,0,252,388,305
39205_img12_jpg.rf.3e6b77c3293466016a3940209ae6371c.jpg,640,640,mould,67,0,468,218
39205_img12_jpg.rf.3e6b77c3293466016a3940209ae6371c.jpg,640,640,mould,189,218,640,320
83391_img3_jpg.rf.3e743a81a71bd3e03213225a7effda04.jpg,640,640,mould,206,97,252,216
83391_img3_jpg.rf.3e743a81a71bd3e03213225a7effda04.jpg,640,640,mould,210,228,410,464
83391_img3_jpg.rf.3e743a81a71bd3e03213225a7effda04.jpg,640,640,mould,374,195,423,265
83391_img3_jpg.rf.3e743a81a71bd3e03213225a7effda04.jpg,640,640,mould,346,207,376,236
83391_img3_jpg.rf.3e743a81a71bd3e03213225a7effda04.jpg,640,640,mould,406,96,426,116
83391_img3_jpg.rf.3e743a81a71bd3e03213225a7effda04.jpg,640,640,mould,405,9,437,52
66485_img11_jpeg.rf.3e40246cc1480851c274bfbe8c5a81e7.jpg,640,640,mould,138,260,639,360
31603_img6_jpeg.rf.3c814d84eca41c246631a0377e9f99ec.jpg,640,640,mould,0,309,639,521
31603_img6_jpeg.rf.3c814d84eca41c246631a0377e9f99ec.jpg,640,640,mould,443,432,640,640
32573_img1_jpeg.rf.3d7dd63e8c5c757942df0aaa648a95e7.jpg,640,640,mould,269,163,398,211
32573_img1_jpeg.rf.3d7dd63e8c5c757942df0aaa648a95e7.jpg,640,640,mould,470,221,605,288
32573_img1_jpeg.rf.3d7dd63e8c5c757942df0aaa648a95e7.jpg,640,640,mould,271,436,326,564
32573_img1_jpeg.rf.3d7dd63e8c5c757942df0aaa648a95e7.jpg,640,640,mould,442,463,489,489
32573_img1_jpeg.rf.3d7dd63e8c5c757942df0aaa648a95e7.jpg,640,640,mould,490,404,522,434
32573_img1_jpeg.rf.3d7dd63e8c5c757942df0aaa648a95e7.jpg,640,640,mould,573,497,573,505
32573_img1_jpeg.rf.3d7dd63e8c5c757942df0aaa648a95e7.jpg,640,640,mould,556,488,598,517
32573_img1_jpeg.rf.3d7dd63e8c5c757942df0aaa648a95e7.jpg,640,640,mould,556,577,589,614
32573_img1_jpeg.rf.3d7dd63e8c5c757942df0aaa648a95e7.jpg,640,640,mould,3,359,273,429
32573_img1_jpeg.rf.3d7dd63e8c5c757942df0aaa648a95e7.jpg,640,640,mould,271,219,451,359
79858_img6_jpeg.rf.3cf30c9f38adb2bb73798c00f15b0965.jpg,640,640,mould,384,284,484,508
79858_img6_jpeg.rf.3cf30c9f38adb2bb73798c00f15b0965.jpg,640,640,mould,260,313,372,457

30084_img3_jpeg.rf.3dfb3fd24b45573640b0049ed4dfe43d.jpg,640,640,mould,200,43,341,448
30084_img3_jpeg.rf.3dfb3fd24b45573640b0049ed4dfe43d.jpg,640,640,mould,479,7,541,39
30084_img3_jpeg.rf.3dfb3fd24b45573640b0049ed4dfe43d.jpg,640,640,mould,80,547,106,587
94144_img8_jpg.rf.3d08de5f50da9cae131d237190fbee37.jpg,640,640,mould,0,96,640,378
94144_img8_jpg.rf.3d08de5f50da9cae131d237190fbee37.jpg,640,640,mould,615,41,631,77
94144_img8_jpg.rf.3d08de5f50da9cae131d237190fbee37.jpg,640,640,mould,450,348,470,368
94144_img8_jpg.rf.3d08de5f50da9cae131d237190fbee37.jpg,640,640,mould,490,337,550,367
94144_img8_jpg.rf.3d08de5f50da9cae131d237190fbee37.jpg,640,640,mould,499,26,510,36
29331_img5_jpeg.rf.3dc5320e0d4892d94cd0f18240593e94.jpg,640,640,mould,0,33,631,639
29331_img5_jpeg.rf.3dc5320e0d4892d94cd0f18240593e94.jpg,640,640,mould,142,3,237,48
